"field.fitted","psf.m3","psf.norm","mh.norm","direction","fwhm","fifthThird"
-18.0181,6.81985121334316e-12,0.00437173179990577,-0.999812670504923,"forward",7.6433,0.410590856096298
-18.0007,7.41351886544837e-12,0.00475229079922908,-0.99978263585433,"forward",7.6433,0.410590856096298
-17.9831,8.0031527261268e-12,0.00513026401571007,-0.999750212399269,"forward",7.6433,0.410590856096298
-17.9656,8.58879995113457e-12,0.0055056816776209,-0.999715416290939,"forward",7.6433,0.410590856096298
-17.9479,9.17050700551403e-12,0.00587857357046522,-0.999678263492292,"forward",7.6433,0.410590856096298
-17.9302,9.74831967326912e-12,0.00624896904318039,-0.999638769780794,"forward",7.6433,0.410590856096298
-17.9125,1.03222830710601e-11,0.00661689701691617,-0.999596950751128,"forward",7.6433,0.410590856096298
-17.8946,1.08924416615691e-11,0.00698238599360244,-0.999552821817844,"forward",7.6433,0.410590856096298
-17.8767,1.14588392651065e-11,0.00734546406338939,-0.999506398217962,"forward",7.6433,0.410590856096298
-17.8588,1.20215190669742e-11,0.00770615890936742,-0.999457695013542,"forward",7.6433,0.410590856096298
-17.8408,1.2580523636016e-11,0.00806449781945852,-0.999406727094184,"forward",7.6433,0.410590856096298
-17.8227,1.31358949324717e-11,0.00842050769145099,-0.999353509179495,"forward",7.6433,0.410590856096298
-17.8046,1.3687674314623e-11,0.00877421503725988,-0.999298055821524,"forward",7.6433,0.410590856096298
-17.7864,1.42359025575906e-11,0.00912564599497623,-0.999240381407125,"forward",7.6433,0.410590856096298
-17.7682,1.47806198592263e-11,0.00947482633264405,-0.9991805001603,"forward",7.6433,0.410590856096298
-17.7499,1.53218658494425e-11,0.00982178145424118,-0.999118426144495,"forward",7.6433,0.410590856096298
-17.7315,1.58596796016247e-11,0.0101665364069946,-0.999054173264857,"forward",7.6433,0.410590856096298
-17.7131,1.63940996449647e-11,0.0105091158892868,-0.998987755270439,"forward",7.6433,0.410590856096298
-17.6946,1.69251639684108e-11,0.0108495442531874,-0.998919185756386,"forward",7.6433,0.410590856096298
-17.6761,1.74529100366744e-11,0.0111878455147148,-0.998848478166063,"forward",7.6433,0.410590856096298
-17.6575,1.79773747935675e-11,0.0115240433559747,-0.998775645793163,"forward",7.6433,0.410590856096298
-17.6389,1.84985946734673e-11,0.0118581611325096,-0.998700701783771,"forward",7.6433,0.410590856096298
-17.6201,1.90166056120561e-11,0.0121902218801836,-0.998623659138383,"forward",7.6433,0.410590856096298
-17.6014,1.95314430542228e-11,0.012520248320247,-0.998544530713898,"forward",7.6433,0.410590856096298
-17.5825,2.00431419556898e-11,0.01284826286038,-0.998463329225596,"forward",7.6433,0.410590856096298
-17.5637,2.05517368028454e-11,0.0131742876074051,-0.998380067249041,"forward",7.6433,0.410590856096298
